time	p1,0.278	p2,0.278	p1,0.64	p2,0.64
313	0.422959	0.648836	0.319621	1.32E+00
314	0.407582	0.669247	0.352025	1.49E+00
315	0.404179	0.701218	0.385905	1.67E+00
316	0.410666	0.744179	0.419817	1.86E+00
317	0.42547	0.797416	0.452144	2.04E+00
318	0.447361	0.860006	0.48126	2.21E+00
319	0.475295	0.930707	0.505752	2.36E+00
320	0.508278	1.01E+00	0.524642	2.48E+00
321	0.545265	1.09E+00	0.537545	2.56E+00
322	0.58509	1.17E+00	0.544707	2.60E+00
323	0.626445	1.25E+00	0.546953	2.59E+00
324	0.667897	1.33E+00	0.545583	2.53E+00
325	0.707947	1.39E+00	0.542286	2.39E+00
326	0.745125	1.44E+00	0.539065	2.16E+00
327	0.778099	1.46E+00	0.538205	1.83E+00
328	0.805769	1.47E+00	0.542207	1.40E+00
329	0.827331	1.44E+00	0.553768	0.922688
330	0.842311	1.39E+00	0.575814	0.512966
331	0.850578	1.31E+00	0.61125	0.262686
332	0.85238	1.21E+00	0.662095	0.146818
333	0.848418	1.08E+00	0.729239	0.0981274
334	0.839973	0.953172	0.812999	0.0778093
335	0.829005	0.823965	0.913452	0.0701715
336	0.818086	0.705662	1.03E+00	0.0690756
337	0.810098	0.604877	1.16E+00	0.071928
338	0.80778	0.524474	1.31E+00	0.0774975
339	0.813299	0.46409	1.47E+00	0.085098
340	0.828053	0.42144	1.63E+00	0.0942553
341	0.85269	0.393578	1.79E+00	0.104559
342	0.887231	0.377694	1.95E+00	0.115601
343	0.931194	0.371426	2.09E+00	0.126954
344	0.983659	0.372905	2.20E+00	0.138184
345	1.04E+00	0.380659	2.27E+00	0.148873
346	1.11E+00	0.393507	2.30E+00	0.158643
347	1.18E+00	0.41044	2.27E+00	0.167162
348	1.24E+00	0.430547	2.17E+00	0.174119
349	1.31E+00	0.452969	2.02E+00	0.179199
350	1.37E+00	0.476867	1.80E+00	0.18208
351	1.41E+00	0.501434	1.54E+00	0.182538
352	1.44E+00	0.525918	1.27E+00	0.180704
353	1.45E+00	0.549651	1.00E+00	0.177407
354	1.44E+00	0.572084	0.788226	0.174278
355	1.40E+00	0.592825	0.628401	0.173325
356	1.33E+00	0.611658	0.522162	0.176281
357	1.24E+00	0.62858	0.458632	0.184286
358	1.13E+00	0.643851	0.426737	0.198016
359	1.01E+00	0.658081	0.418237	0.217952
360	0.892721	0.672306	0.427844	0.244574
361	0.778039	0.688023	0.452446	0.278435
362	0.677211	0.70709	0.490317	0.320171
363	0.594095	0.731501	0.540527	0.370456
364	0.529482	0.763117	0.602504	0.429922
365	0.482016	0.803437	0.675695	0.499054
366	0.4493	0.853496	0.759266	0.578042
367	0.428721	0.913825	0.851831	0.666619
368	0.417878	0.984445	0.951205	0.763884
369	0.414716	1.06E+00	1.05E+00	0.868153
370	0.417502	1.15E+00	1.16E+00	0.976896
371	0.424751	1.25E+00	1.25E+00	1.09E+00
372	0.435145	1.35E+00	1.34E+00	1.19E+00
373	0.447478	1.45E+00	1.41E+00	1.29E+00
374	0.46063	1.55E+00	1.45E+00	1.39E+00
375	0.473578	1.64E+00	1.48E+00	1.46E+00
376	0.485425	1.71E+00	1.47E+00	1.53E+00
377	0.495445	1.77E+00	1.43E+00	1.58E+00
378	0.503122	1.80E+00	1.37E+00	1.61E+00
379	0.508171	1.80E+00	1.27E+00	1.63E+00
380	0.510529	1.76E+00	1.16E+00	1.64E+00
381	0.510325	1.68E+00	1.02E+00	1.63E+00
